,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
4,Lorengau,PG,78.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
5,Lakatoro,VU,80.92,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
14,Vallenar,CL,82.17,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
15,San Ignacio,BZ,87.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
17,Progreso,MX,84.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
18,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
20,Hithadhoo,MV,82.54,clear sky,-0.6,73.0833,Scoop Guest House
25,Rikitea,PF,78.08,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Sabana Grande De Boya,DO,81.0,broken clouds,18.945,-69.7933,Balcones De Boya
27,Lapa,BR,78.53,broken clouds,-25.7697,-49.7158,Pousada Solar da Lapa
29,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
36,Hilo,US,76.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
43,Bredasdorp,ZA,75.6,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
47,Port Alfred,ZA,77.49,overcast clouds,-33.5906,26.891,The Halyards Hotel
48,Yaan,NG,82.87,clear sky,7.3833,8.5667,
49,Honiara,SB,79.02,light rain,-9.4333,159.95,Heritage Park Hotel
53,Sola,VU,80.78,overcast clouds,-13.8833,167.55,Leumerus Bungalows
57,Cayenne,GF,77.04,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
58,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
60,Butaritari,KI,81.5,broken clouds,3.0707,172.7902,Isles Sunset Lodge
62,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
70,Geraldton,AU,84.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
71,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Atuona,PF,78.57,few clouds,-9.8,-139.0333,Villa Enata
75,Gaoual,GN,85.57,clear sky,11.75,-13.2,Hotel koliba
76,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
79,Castro,BR,78.55,clear sky,-24.7911,-50.0119,CHACARA BAILLY
83,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
89,Adrar,MR,76.68,overcast clouds,20.5022,-10.0711,
91,Teabo,MX,87.73,clear sky,20.4,-89.2833,Comité Directivo Municipal del PAN de Teabo
95,Sorong,ID,79.56,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
99,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
100,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
101,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
106,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
108,Auki,SB,79.29,overcast clouds,-8.7676,160.7034,Auki Motel
114,Ballina,AU,77.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
115,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Comodoro Rivadavia,AR,87.66,clear sky,-45.8667,-67.5,Austral Hotel
118,East London,ZA,76.1,overcast clouds,-33.0153,27.9116,Tu Casa
121,Souillac,MU,79.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
125,Amahai,ID,77.79,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
126,Atar,MR,79.34,overcast clouds,20.5169,-13.0499,Oumou Elghoura
141,Santa Isabel Do Rio Negro,BR,80.96,overcast clouds,-0.4139,-65.0192,Hotel GSA
144,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
147,Faanui,PF,80.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
155,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
158,Diego De Almagro,CL,79.57,clear sky,-26.3667,-70.05,hotel luna del desierto
165,Mahebourg,MU,79.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Kavieng,PG,78.57,light rain,-2.5744,150.7967,Nusa Island Retreat
168,Mogadishu,SO,78.39,overcast clouds,2.0371,45.3438,Hotel Juba
169,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
172,Maturin,VE,86.18,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
173,Phalaborwa,ZA,76.28,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
174,Daru,PG,75.15,overcast clouds,-9.0763,143.2092,Daru Lodge
178,Karratha,AU,83.98,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
182,Hervey Bay,AU,78.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
192,Curitibanos,BR,85.84,few clouds,-27.2828,-50.5844,Tortato Palace Hotel
195,Majene,ID,78.42,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
200,Nioro,GM,89.11,clear sky,13.35,-15.75,
202,Kailua,US,79.14,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
205,Culiacan,MX,80.15,smoke,24.7994,-107.3897,Ramada by Wyndham Hola Culiacan
206,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
209,Meulaboh,ID,75.31,overcast clouds,4.1363,96.1285,Kost Pria
211,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
215,Quatre Cocos,MU,78.91,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
216,Bonthe,SL,79.29,broken clouds,7.5264,-12.505,Bonthe Holiday Village
219,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
220,Pandan Niog,PH,81.54,overcast clouds,6.2282,120.5631,
221,Benjamin Constant,BR,89.73,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
222,Sundumbili,ZA,77.31,overcast clouds,-29.1337,31.3975,The Plover Bed and Breakfast
225,Monrovia,LR,80.37,broken clouds,6.3005,-10.7969,Sunset Inn
226,Barra Do Garcas,BR,75.78,light rain,-15.89,-52.2567,Pousada Tropical
228,Tual,ID,81.54,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
229,Buala,SB,80.74,light rain,-8.145,159.5921,Maringe Lagoon Lodge
231,Limbe,CM,81.45,scattered clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
236,Labuhan,ID,77.02,overcast clouds,-6.8844,112.2051,DoubleFAG
240,San Carlos De Bariloche,AR,77.45,clear sky,-41.1456,-71.3082,Hotel Patagonia
245,Imbituba,BR,80.49,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
246,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
247,Christchurch,NZ,75.47,overcast clouds,-43.5333,172.6333,The George
248,Kirakira,SB,79.61,moderate rain,-10.4544,161.9205,SanBiz Lodge
250,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
251,Rabaul,PG,79.14,light rain,-4.1967,152.1721,Rabaul Hotel
252,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
257,Salinopolis,BR,81.27,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
260,Sao Felix Do Xingu,BR,79.93,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
263,Benguela,AO,75.97,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
266,Iguape,BR,79.45,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
268,Kahului,US,79.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
273,Maragogi,BR,82.04,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
277,Moron,AR,88.02,clear sky,-34.6534,-58.6198,Hotel Morón
278,San Patricio,US,76.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
283,Caravelas,BR,82.74,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
288,Padang,ID,75.99,heavy intensity rain,-0.9492,100.3543,Mercure Padang
292,Barra Do Corda,BR,86.72,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
295,Jardim,BR,83.44,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
297,Sao Joao Da Barra,BR,86.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
299,Richards Bay,ZA,77.63,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
300,Cidreira,BR,75.13,few clouds,-30.1811,-50.2056,Hotel Castelo
315,Terre-De-Bas,GP,84.61,clear sky,15.8501,-61.6442,Hôtel Bois Joli
317,Viedma,AR,82.49,few clouds,-40.8135,-62.9967,Hotel Cristal
321,Torit,SS,82.63,broken clouds,4.4133,32.5678,Diplomat Guest House
322,Mattru,SL,77.92,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
323,Altamira,BR,89.69,scattered clouds,-3.2033,-52.2064,Requinte Hotel
331,Canavieiras,BR,83.17,clear sky,-15.675,-38.9472,Bahiadomizil
339,Kavaratti,IN,80.1,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
340,Bequimao,BR,86.32,overcast clouds,-2.4489,-44.7825,Casa Dom Joaquim
343,Nueva Gerona,CU,75.92,scattered clouds,21.8833,-82.8,Villa Gerona
352,Tarakan,ID,79.43,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
360,Puerto Madero,MX,88.0,few clouds,14.7208,-92.4215,Hospedaje madero
365,Bambous Virieux,MU,79.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
378,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
379,Sume,BR,83.79,broken clouds,-7.6717,-36.88,Pousada Sumé ll
381,Morondava,MG,82.06,broken clouds,-20.2833,44.2833,La Case Bambou
383,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
388,Vaitape,PF,80.51,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
391,Beitbridge,ZW,76.41,clear sky,-22.2167,30.0,Beitbridge Express Hotel
395,Samarai,PG,80.87,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
403,Necochea,AR,75.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
404,Sao Raimundo Das Mangabeiras,BR,80.89,light rain,-7.0219,-45.4811,Hotel Tropical
409,Boromo,BF,76.57,broken clouds,11.75,-2.9333,Sama Camp
410,Acarau,BR,80.98,overcast clouds,-2.8856,-40.12,castelo pizzaria
414,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
426,Cap Malheureux,MU,79.47,heavy intensity rain,-19.9842,57.6142,Pereybere Hotel & Spa
427,Isangel,VU,79.38,overcast clouds,-19.55,169.2667,Tanna Lodge
438,Nampula,MZ,75.15,clear sky,-15.1165,39.2666,BUTIK Hotel
448,Jacareacanga,BR,79.59,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
451,Ugoofaaru,MV,82.13,clear sky,5.6667,73.0,Ungoofaaru Inn
454,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
456,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
459,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
464,Monteagudo,BO,80.38,broken clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
475,Kaset Sombun,TH,79.45,broken clouds,16.2805,101.9542,BoonTewa Hotel
478,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
488,Rawson,AR,79.16,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
498,Madimba,TZ,77.52,light rain,-10.4,40.3333,
